customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
CUST-0000,Female,1,No,No,11,Yes,No phone service,Fiber optic,No,No,No,No,No internet service,No,Month-to-month,No,Mailed check,115.88,1274.68
CUST-0001,Male,0,Yes,No,8,Yes,No,Fiber optic,No,No internet service,No internet service,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),85.16,681.28
CUST-0002,Male,0,Yes,No,6,Yes,No phone service,Fiber optic,No,No,No,No,No,No internet service,One year,Yes,Credit card (automatic),99.62,597.72
CUST-0003,Male,0,Yes,No,7,Yes,No,DSL,No,No internet service,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,117.98,825.86
CUST-0004,Male,0,Yes,No,4,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),97.35,389.4
CUST-0005,Male,0,Yes,Yes,0,Yes,Yes,Fiber optic,No,No,Yes,No,No internet service,Yes,Month-to-month,Yes,Mailed check,92.71,0.0
CUST-0006,Female,0,Yes,No,3,Yes,No phone service,Fiber optic,No,No internet service,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),96.75,290.25
CUST-0007,Male,0,No,No,1,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No,No internet service,Month-to-month,No,Credit card (automatic),110.56,110.56
CUST-0008,Male,0,No,No,2,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No,No internet service,Month-to-month,No,Mailed check,96.48,192.96
CUST-0009,Female,0,No,No,11,Yes,No phone service,Fiber optic,No,Yes,No internet service,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),110.25,1212.75
CUST-0010,Female,0,No,No,2,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No internet service,Yes,Month-to-month,Yes,Electronic check,94.43,188.86
CUST-0011,Female,0,No,No,8,Yes,No phone service,Fiber optic,No,No,Yes,No,No internet service,No internet service,Month-to-month,No,Mailed check,86.34,690.72
CUST-0012,Male,0,Yes,No,9,Yes,No phone service,DSL,No,Yes,No,No,No internet service,No,Month-to-month,Yes,Electronic check,89.69,807.21
CUST-0013,Male,1,Yes,Yes,3,No,Yes,DSL,No,No internet service,No,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),78.5,235.5
CUST-0014,Female,0,Yes,No,1,Yes,Yes,No,No,No,No internet service,No,No,Yes,Month-to-month,No,Credit card (automatic),97.38,97.38
CUST-0015,Female,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),81.66,163.32
CUST-0016,Female,0,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,No internet service,Month-to-month,Yes,Mailed check,111.52,223.04
CUST-0017,Female,1,No,No,6,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,93.93,563.58
CUST-0018,Male,1,No,No,7,Yes,No,Fiber optic,No,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),109.43,766.01
CUST-0019,Male,0,Yes,No,10,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No,Yes,Two year,No,Credit card (automatic),117.95,1179.5
CUST-0020,Male,0,Yes,Yes,5,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),113.23,566.15
CUST-0021,Male,0,Yes,No,3,No,No phone service,DSL,No,No,Yes,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),117.82,353.46
CUST-0022,Male,0,No,Yes,5,Yes,Yes,Fiber optic,No,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Electronic check,100.56,502.8
CUST-0023,Female,0,No,No,10,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),82.44,824.4
CUST-0024,Male,0,Yes,Yes,0,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),117.09,0.0
CUST-0025,Female,0,No,No,9,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No,Yes,No internet service,Month-to-month,No,Mailed check,114.08,1026.72
CUST-0026,Female,0,Yes,No,7,Yes,No,No,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),113.9,797.3
CUST-0027,Female,0,No,No,0,Yes,No,Fiber optic,No,No internet service,No internet service,No,No,No,Month-to-month,Yes,Credit card (automatic),106.2,0.0
CUST-0028,Male,0,No,Yes,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,103.12,412.48
CUST-0029,Female,0,Yes,No,1,Yes,Yes,DSL,No,No,No,No,Yes,No internet service,Month-to-month,Yes,Mailed check,75.66,75.66
CUST-0030,Male,0,No,No,5,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),108.66,543.3
CUST-0031,Female,0,No,No,8,Yes,Yes,Fiber optic,No internet service,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,79.12,632.96
