customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
CUST-0000,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No,No,No,Month-to-month,No,Bank transfer (automatic),105.55,4474.11
CUST-0001,Female,0,No,No,65,Yes,Yes,DSL,Yes,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),41.73,2879.97
CUST-0002,Male,1,No,No,69,Yes,Yes,DSL,Yes,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,29.78,1955.94
CUST-0003,Male,0,Yes,No,27,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),51.26,1421.7
CUST-0004,Male,0,Yes,No,25,Yes,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),40.48,1002.73
CUST-0005,Female,0,Yes,No,24,Yes,No phone service,No,Yes,No internet service,No,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),112.38,2893.16
CUST-0006,Male,1,No,No,11,Yes,No,DSL,No,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Electronic check,106.53,1269.55
CUST-0007,Male,0,No,No,4,Yes,Yes,DSL,Yes,No,No internet service,Yes,No,No internet service,One year,Yes,Bank transfer (automatic),68.97,303.29
CUST-0008,Male,0,No,Yes,47,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),24.26,1061.24
CUST-0009,Female,0,No,No,36,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,90.89,3509.57
CUST-0010,Male,0,Yes,Yes,43,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,No,No,Two year,Yes,Mailed check,81.59,3344.19
CUST-0011,Male,1,Yes,No,14,Yes,Yes,DSL,No,No internet service,No,No internet service,No,No internet service,One year,Yes,Credit card (automatic),117.0,1667.75
CUST-0012,Male,0,Yes,No,42,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,No internet service,Yes,Two year,No,Credit card (automatic),75.01,3154.06
CUST-0013,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No internet service,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,52.31,2221.56
CUST-0014,Female,1,No,No,69,Yes,Yes,No,No internet service,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,70.94,5318.53
CUST-0015,Male,0,No,No,45,Yes,No,No,No,No internet service,No,No internet service,No,No,Month-to-month,No,Mailed check,117.88,4857.24
CUST-0016,Female,0,Yes,Yes,42,Yes,Yes,No,Yes,No internet service,No internet service,No,Yes,No,Month-to-month,No,Credit card (automatic),89.03,3880.02
CUST-0017,Female,0,Yes,No,20,Yes,No,No,No internet service,No,No internet service,No,No internet service,Yes,Month-to-month,No,Electronic check,86.54,1829.46
CUST-0018,Female,0,No,No,22,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,Yes,No,Two year,Yes,Mailed check,42.55,991.38
CUST-0019,Male,0,Yes,Yes,46,Yes,No phone service,No,Yes,Yes,No internet service,Yes,No,No,Month-to-month,Yes,Mailed check,93.85,4002.38
CUST-0020,Female,0,No,No,14,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No,No internet service,Yes,Month-to-month,No,Electronic check,94.53,1309.54
CUST-0021,Male,0,Yes,Yes,24,Yes,No phone service,No,No internet service,No,No internet service,No,No,Yes,One year,Yes,Credit card (automatic),50.36,1288.27
CUST-0022,Female,1,Yes,No,35,Yes,No phone service,No,No,No,Yes,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),67.34,2263.89
CUST-0023,Female,1,Yes,No,50,No,No,DSL,Yes,Yes,No internet service,No internet service,No internet service,No,One year,No,Bank transfer (automatic),48.05,2387.0
CUST-0024,Female,0,Yes,No,14,No,No,No,Yes,Yes,No,No,No,No,One year,Yes,Mailed check,44.39,593.22
CUST-0025,Female,0,Yes,No,67,Yes,Yes,DSL,No internet service,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),20.64,1372.8
CUST-0026,Female,0,Yes,No,20,Yes,No phone service,Fiber optic,No internet service,No,Yes,No,No internet service,Yes,Two year,Yes,Bank transfer (automatic),47.09,1014.85
CUST-0027,Female,0,Yes,No,12,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,74.5,885.98
CUST-0028,Female,0,No,No,18,Yes,Yes,DSL,Yes,Yes,No internet service,Yes,No,No,Month-to-month,Yes,Mailed check,18.16,330.54
CUST-0029,Female,0,No,No,33,Yes,Yes,Fiber optic,No,No internet service,No internet service,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),46.89,1517.65
CUST-0030,Male,1,No,Yes,67,Yes,No,DSL,No,Yes,No,No internet service,No,Yes,Two year,No,Mailed check,107.9,7171.64
CUST-0031,Male,0,No,No,51,Yes,No phone service,No,Yes,Yes,Yes,Yes,No internet service,No,Month-to-month,No,Electronic check,78.55,3617.6
CUST-0032,Female,0,No,Yes,26,Yes,Yes,Fiber optic,No,No,No internet service,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic),80.0,1990.04
CUST-0033,Female,0,Yes,Yes,28,Yes,No phone service,No,No internet service,No,No,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),59.14,1634.92
CUST-0034,Female,0,Yes,Yes,27,Yes,No phone service,No,No,No internet service,No,No,No,No,Two year,Yes,Mailed check,87.0,2411.86
CUST-0035,Male,0,No,No,34,Yes,No phone service,No,No,Yes,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),37.37,1257.89
CUST-0036,Female,0,Yes,No,7,Yes,Yes,No,No,No internet service,No internet service,No internet service,No,No internet service,Month-to-month,No,Mailed check,101.51,687.52
CUST-0037,Male,0,No,No,15,Yes,No phone service,DSL,No internet service,No,No internet service,No,No internet service,Yes,Two year,No,Credit card (automatic),29.9,438.46
CUST-0038,Male,0,No,Yes,35,Yes,Yes,No,Yes,No internet service,No internet service,Yes,No internet service,No,Month-to-month,No,Mailed check,84.91,2818.68
CUST-0039,Male,0,Yes,No,29,Yes,No phone service,DSL,No internet service,No,No internet service,No,No,Yes,Month-to-month,Yes,Mailed check,52.8,1661.2
CUST-0040,Male,0,Yes,No,17,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No,No internet service,Yes,Month-to-month,Yes,Mailed check,94.25,1609.22
CUST-0041,Male,0,Yes,No,1,Yes,No phone service,DSL,Yes,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),74.08,66.87
CUST-0042,Female,0,No,No,48,Yes,No,DSL,Yes,Yes,No internet service,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),64.14,2782.82
CUST-0043,Female,0,Yes,No,3,Yes,No phone service,Fiber optic,No,No internet service,No internet service,Yes,Yes,Yes,One year,No,Credit card (automatic),35.28,115.85
CUST-0044,Female,0,No,No,6,No,No phone service,DSL,No,Yes,No internet service,No,Yes,No,One year,No,Bank transfer (automatic),82.96,470.03
CUST-0045,Female,0,No,No,38,Yes,Yes,DSL,Yes,Yes,No,No internet service,Yes,No internet service,Two year,Yes,Bank transfer (automatic),117.43,4735.09
CUST-0046,Female,0,No,Yes,12,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),102.21,1118.16
CUST-0047,Male,0,Yes,Yes,30,Yes,No phone service,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,24.12,784.55
CUST-0048,Female,0,Yes,No,70,Yes,No,DSL,No internet service,No internet service,No,No,No internet service,No,One year,Yes,Mailed check,56.38,4242.13
